"SARG number","meters north","meters east","start date","end date","median date","type","size","description","room count","elevation","baseline households","x","y"
2130,7792,1553,1050,1150,1100,2,10,8,0,1978,0,16,80
2131,7713,1783,1000,1100,1050,2,10,8,0,1926,0,18,80
2132,7715,1642,400,1300,1000,2,10,8,0,1939,0,16,80
2133,7745,1538,400,1300,1000,2,40,8,0,1939,0,15,80
2134,7750,1509,950,1150,1025,1,200,1,2,1939,1,15,80
2135,7724,1474,1000,1075,1050,2,100,5,0,1932,1,15,80
2136,8679,1250,1250,1300,1270,1,100,5,-1,2012,1,12,90
2137,8662,1366,1200,1250,1225,2,-1,8,0,2030,0,14,90
2138,8664,1204,1250,1300,1270,2,50,5,0,1963,1,12,90
2139,8650,1163,1225,1270,1250,2,50,6,0,1960,1,11,90
2141,8719,1137,1225,1300,1270,2,50,6,0,1969,1,11,90
2142,9216,1143,1050,1250,1150,2,200,6,0,1986,1,11,96
2145,8531,870,600,850,650,2,500,4,0,1954,1,8,88
2146,6349,3570,1100,1300,1270,1,2000,1,43,1952,9,36,65
2152,7689,1289,1150,1300,1225,1,100,4,2,1975,1,13,79
2153,7705,2309,1100,1300,1200,2,750,8,0,1926,0,24,79
2154,7547,1982,1050,1150,1075,2,500,6,0,1926,1,20,78
2156,7603,2294,550,850,700,2,150,5,0,1948,1,23,78
2157,7554,2247,600,900,750,2,280,6,0,1949,1,23,78
2158,7554,2247,1150,1225,1175,2,280,6,0,1949,1,23,78
2159,7536,2139,1050,1150,1100,2,180,4,1,1966,1,22,78
2160,7506,2530,1100,1270,1225,1,300,1,15,1925,3,25,77
2163,7039,2372,850,1000,950,1,90,1,6,1946,2,24,72
2164,7079,2369,600,700,650,2,700,4,0,1948,1,24,73
2166,6928,2291,850,1000,950,1,400,1,5,1954,1,23,71
2168,6547,1180,1000,1100,1025,2,40,6,0,2080,1,12,67
2169,6532,1337,900,1000,950,2,50,6,0,2088,1,13,67
2170,6146,2698,1250,1300,1270,1,1750,1,47,1972,10,27,63
2171,6455,2826,1250,1300,1270,1,300,1,3,1935,1,28,66
2172,6436,2841,1150,1300,1250,1,900,1,2,1935,1,28,66
2173,6445,2812,1075,1300,1150,1,600,1,2,1937,1,28,66
2174,6426,2754,1250,1300,1270,1,500,1,4,1942,1,27,66
2175,6457,2768,1000,1300,1250,1,200,5,0,1937,1,28,66
2176,6387,2710,1250,1300,1270,1,700,1,7,1951,2,27,65
2177,6408,2736,900,1300,1025,1,100,1,5,1945,1,27,66
2178,6324,2735,900,1000,950,2,100,4,0,1948,1,27,65
2179,6346,2803,950,1150,1050,1,900,5,0,1939,1,28,65
2180,6346,2803,1250,1300,1270,1,900,1,21,1939,5,28,65
2181,6393,2791,1250,1300,1270,1,100,1,2,1940,1,28,65
2182,6291,2660,950,1300,1000,2,100,6,0,1961,1,26,64
2183,6365,2238,600,700,650,2,850,5,0,2004,1,23,65
2184,6608,2420,900,1300,1100,2,200,6,0,1969,1,24,68
2186,6521,2020,600,700,650,2,100,5,0,2012,1,21,67
2187,6925,2437,600,700,650,2,90,5,0,1937,1,24,71
2188,6146,1456,1000,1100,1075,2,50,4,1,2082,1,14,63
2189,6295,1346,600,900,650,2,910,5,0,2085,1,13,64
2191,6274,1059,1000,1125,1050,1,100,1,5,2091,1,10,64
2193,5933,1835,600,800,650,2,500,6,0,2085,1,19,60
2194,6789,2610,1000,1150,1050,2,900,5,0,1926,1,26,70
2195,6905,2582,1150,1300,1200,2,500,5,0,1926,1,26,71
2196,6975,2512,1050,1150,1075,1,240,1,16,1926,4,25,72
2198,6032,2799,1025,1150,1050,1,225,1,3,1951,1,28,62
2199,6052,2489,1000,1050,1025,2,100,5,0,1981,1,25,62
2200,5787,2358,1000,1150,1075,1,300,1,16,2006,4,24,59
2201,6135,2883,1075,1300,1250,1,100,1,8,1937,2,29,63
2202,6216,2854,1200,1300,1250,1,300,3,1,1937,1,28,64
2203,5920,2848,1000,1150,1075,2,300,6,0,1943,1,28,60
2204,5861,2849,900,1100,1050,1,1000,1,2,1941,1,28,60
2205,5870,2748,850,1100,1000,1,-1,1,5,1946,1,27,60
2206,5974,2806,1050,1150,1075,2,10,8,0,1952,0,28,61
2207,5818,2855,1050,1125,1100,1,100,5,0,1937,1,28,59
2208,5704,2706,800,1000,900,2,50,6,0,1948,1,27,58
2209,5898,2674,600,700,650,2,100,5,0,1952,1,27,60
2210,5614,2741,600,700,650,2,200,5,0,1966,1,27,57
2211,5614,2933,1000,1300,1225,1,140,1,4,1943,1,29,57
2213,5503,2950,900,1050,950,1,670,1,0,1948,1,29,56
2215,5228,2308,600,700,650,2,100,4,0,2027,1,24,53
2216,4629,3018,1050,1150,1100,1,100,5,0,1960,1,30,47
2218,4468,2972,1000,1150,1050,1,100,1,2,1960,1,30,45
2219,4143,2928,1000,1100,1050,1,150,1,5,1969,1,29,42
2220,4487,2782,900,1050,1000,1,125,4,-1,1990,1,28,45
2221,4055,2884,850,1000,900,2,40,5,0,1973,1,29,41
2222,3866,2835,1050,1150,1100,1,120,1,9,1975,2,28,39
2223,3869,2884,1000,1150,1100,2,50,6,0,1973,1,29,39
2225,4879,2727,850,1000,900,1,320,3,5,1990,5,27,49
2226,4428,2398,1100,1300,1150,2,100,5,0,2063,1,24,45
2227,5461,1790,850,1000,900,2,60,6,0,2109,1,18,55
2228,5416,1794,950,1025,1000,2,100,5,0,2111,1,18,55
2229,5414,1715,1150,1250,1225,2,75,5,0,2112,1,17,55
2230,5317,1671,600,700,650,2,150,5,0,2112,1,17,54
2232,5137,1736,1050,1150,1075,2,90,4,1,2100,1,17,52
2233,4466,1677,1050,1150,1100,2,90,4,1,2105,1,17,45
2234,3039,2076,1000,1150,1050,2,60,4,0,2054,1,21,31
2235,3246,1915,1050,1150,1100,1,100,1,2,2067,1,19,33
2236,2615,1655,1050,1150,1100,2,50,6,0,2047,1,17,26
2238,2594,1654,1150,1200,1175,2,10,5,0,2046,1,17,26
2239,3188,2274,600,700,650,2,90,5,0,2048,1,23,32
2240,2350,1753,1000,1200,1150,1,2000,1,22,2039,5,18,23
2242,2385,1812,950,1150,1050,1,700,3,5,2039,5,18,24
2244,2378,1852,950,1150,1100,2,500,5,0,2038,1,19,23
2245,2515,1960,900,1050,1000,2,100,5,0,2033,1,20,25
2246,2583,1953,1050,1150,1100,2,20,5,0,2038,1,20,26
2247,2740,2015,950,1125,1075,2,200,5,0,2045,1,20,27
2248,2745,1968,1050,1150,1100,2,100,4,2,2042,1,20,27
2249,1518,1213,1050,1150,1100,1,320,1,7,2037,2,12,14
2250,9195,4803,1200,1270,1225,2,150,7,0,1916,0,49,95
2251,9249,4870,1050,1250,1150,2,200,8,0,1914,0,50,96
2252,1664,1626,1050,1150,1075,1,100,4,-1,2021,1,16,16
2253,1692,1531,1000,1175,1075,1,600,2,12,2036,3,15,16
2254,1550,1424,1050,1175,1100,1,600,1,7,2027,2,14,15
2255,1870,1719,1050,1150,1075,2,10,4,1,2016,1,17,18
2256,2120,1829,1050,1300,1250,2,20,4,2,2010,1,18,21
2257,2156,1916,800,1050,900,1,100,1,-1,2006,1,19,21
2258,2333,2009,1050,1100,1075,2,150,6,0,2010,1,20,23
2259,2341,2058,1050,1200,1125,1,500,1,5,2010,1,21,23
2260,2378,2117,1050,1150,1100,1,100,1,5,2006,1,22,23
2263,9295,4915,1200,1300,1250,1,400,1,3,1905,1,50,96
2264,3410,2742,1200,1250,1225,2,80,4,0,1984,1,27,35
2265,2977,2605,900,1000,950,1,50,3,1,1986,1,26,30
2266,2948,2568,600,900,700,2,20,4,2,1989,1,25,30
2267,2916,2488,850,950,900,1,200,3,2,1993,2,25,29
2268,3173,2503,900,1050,950,1,700,3,3,2018,3,25,32
2269,9196,4721,1150,1200,1175,2,100,7,0,1925,0,48,95
2270,4286,2812,900,1075,1050,1,280,3,2,1984,2,28,44
2272,4050,2312,900,1000,950,1,500,3,2,2071,2,24,41
2273,4062,2419,600,700,600,2,800,5,0,2063,1,24,41
2274,9521,5584,600,700,650,2,150,4,0,1923,1,58,99
2275,4124,2623,950,1050,1025,1,500,1,5,2030,1,26,42
2276,3156,3520,1050,1150,1100,1,875,1,10,1989,2,36,32
2277,2858,3355,1050,1150,1125,2,90,4,1,1990,1,34,29
2278,2649,3294,850,1200,1100,1,10,3,1,1996,1,33,26
2279,2629,3291,900,1100,950,2,150,4,1,1998,1,33,26
2280,8647,4244,1050,1150,1100,2,50,4,0,1914,1,43,90
2281,2536,3197,900,1100,1075,2,64,4,2,1996,1,32,25
2282,2580,3224,1050,1150,1100,1,700,1,11,1998,3,32,26
2283,2280,2875,1050,1150,1100,1,-1,1,4,1998,1,29,22
2284,2451,3098,1050,1150,1100,1,120,1,3,1998,1,31,24
2285,2561,3174,600,700,650,2,10,4,0,1995,1,32,25
2286,2374,3038,600,850,700,1,100,3,2,1998,2,30,23
2287,1443,2239,900,1100,1100,2,75,4,0,2024,1,23,13
2288,1928,2666,1100,1200,1150,1,150,1,1,2009,1,26,19
2289,1721,2194,1050,1150,1100,1,520,1,8,2012,2,22,16
2290,1228,1311,1050,1150,1075,1,1000,2,20,2024,4,13,11
2291,1205,1146,1000,1075,1025,2,100,4,1,2038,1,11,11
2292,1269,1318,950,1050,1000,1,510,3,5,2024,5,13,12
2293,1108,1051,1050,1150,1075,2,225,5,-1,2041,1,10,10
2294,981,945,1050,1150,1100,2,150,5,0,2045,1,9,9
2295,762,889,1050,1150,1125,1,600,1,5,2048,1,8,6
2296,957,968,1050,1150,1100,2,210,5,0,2045,1,9,8
2297,783,1015,900,1000,950,1,300,3,-1,2042,1,10,6
2298,827,1192,850,1050,900,2,100,4,0,2035,1,12,7
2299,823,1318,1000,1150,1075,1,225,1,1,2033,1,13,7
2300,9501,1748,1000,1150,1100,1,600,4,-1,2124,1,18,99
2302,1443,2184,1000,1100,1075,1,200,1,5,2021,1,22,13
2303,1231,2027,600,700,650,2,10,4,0,2027,1,21,11
