"x","y","color","zone","maize.zone"
49,11,"white","Empty","Empty"
49,10,"white","Empty","Empty"
49,9,"white","Empty","Empty"
49,8,"white","Empty","Empty"
49,7,"white","Empty","Empty"
49,6,"white","Empty","Empty"
49,5,"white","Empty","Empty"
49,4,"white","Empty","Empty"
49,3,"white","Empty","Empty"
49,2,"white","Empty","Empty"
49,1,"white","Empty","Empty"
49,0,"white","Empty","Empty"
50,119,"white","Empty","Empty"
50,118,"white","Empty","Empty"
50,117,"white","Empty","Empty"
50,116,"white","Empty","Empty"
50,115,"white","Empty","Empty"
50,114,"white","Empty","Empty"
50,113,"white","Empty","Empty"
50,112,"white","Empty","Empty"
50,111,"white","Empty","Empty"
50,110,"white","Empty","Empty"
50,109,"white","Empty","Empty"
50,108,"white","Empty","Empty"
50,107,"white","Empty","Empty"
50,106,"white","Empty","Empty"
50,105,"yellow","Natural","No_Yield"
50,104,"yellow","Natural","No_Yield"
50,103,"yellow","Natural","No_Yield"
50,102,"yellow","Natural","No_Yield"
50,101,"yellow","Natural","No_Yield"
50,100,"yellow","Natural","No_Yield"
50,99,"yellow","Natural","No_Yield"
50,98,"yellow","Natural","No_Yield"
50,97,"yellow","Natural","No_Yield"
50,96,"yellow","Natural","No_Yield"
50,95,"yellow","Natural","No_Yield"
50,94,"red","North","Yield_1"
50,93,"red","North","Yield_1"
50,92,"red","North","Yield_1"
50,91,"red","North","Yield_1"
50,90,"red","North","Yield_1"
50,89,"red","North","Yield_1"
50,88,"red","North","Yield_1"
50,87,"red","North","Yield_1"
50,86,"black","General","Yield_2"
50,85,"black","General","Yield_2"
50,84,"yellow","Natural","No_Yield"
50,83,"yellow","Natural","No_Yield"
50,82,"yellow","Natural","No_Yield"
50,81,"yellow","Natural","No_Yield"
50,80,"yellow","Natural","No_Yield"
50,79,"yellow","Natural","No_Yield"
50,78,"yellow","Natural","No_Yield"
50,77,"yellow","Natural","No_Yield"
50,76,"yellow","Natural","No_Yield"
50,75,"yellow","Natural","No_Yield"
50,74,"yellow","Natural","No_Yield"
50,73,"yellow","Natural","No_Yield"
50,72,"yellow","Natural","No_Yield"
50,71,"yellow","Natural","No_Yield"
50,70,"yellow","Natural","No_Yield"
50,69,"yellow","Natural","No_Yield"
50,68,"yellow","Natural","No_Yield"
50,67,"yellow","Natural","No_Yield"
50,66,"yellow","Natural","No_Yield"
50,65,"yellow","Natural","No_Yield"
50,64,"yellow","Natural","No_Yield"
50,63,"yellow","Natural","No_Yield"
50,62,"white","Empty","Empty"
50,61,"white","Empty","Empty"
50,60,"white","Empty","Empty"
50,59,"white","Empty","Empty"
50,58,"white","Empty","Empty"
50,57,"white","Empty","Empty"
50,56,"white","Empty","Empty"
50,55,"white","Empty","Empty"
50,54,"white","Empty","Empty"
50,53,"white","Empty","Empty"
50,52,"white","Empty","Empty"
50,51,"white","Empty","Empty"
50,50,"white","Empty","Empty"
50,49,"white","Empty","Empty"
50,48,"white","Empty","Empty"
50,47,"white","Empty","Empty"
50,46,"white","Empty","Empty"
50,45,"white","Empty","Empty"
50,44,"white","Empty","Empty"
50,43,"white","Empty","Empty"
50,42,"white","Empty","Empty"
50,41,"white","Empty","Empty"
50,40,"white","Empty","Empty"
50,39,"white","Empty","Empty"
50,38,"white","Empty","Empty"
50,37,"white","Empty","Empty"
50,36,"white","Empty","Empty"
50,35,"white","Empty","Empty"
50,34,"white","Empty","Empty"
50,33,"white","Empty","Empty"
50,32,"white","Empty","Empty"
50,31,"white","Empty","Empty"
50,30,"white","Empty","Empty"
50,29,"white","Empty","Empty"
50,28,"white","Empty","Empty"
50,27,"white","Empty","Empty"
50,26,"white","Empty","Empty"
50,25,"white","Empty","Empty"
50,24,"white","Empty","Empty"
50,23,"white","Empty","Empty"
50,22,"white","Empty","Empty"
50,21,"white","Empty","Empty"
50,20,"white","Empty","Empty"
50,19,"white","Empty","Empty"
50,18,"white","Empty","Empty"
50,17,"white","Empty","Empty"
50,16,"white","Empty","Empty"
50,15,"white","Empty","Empty"
50,14,"white","Empty","Empty"
50,13,"white","Empty","Empty"
50,12,"white","Empty","Empty"
50,11,"white","Empty","Empty"
50,10,"white","Empty","Empty"
50,9,"white","Empty","Empty"
50,8,"white","Empty","Empty"
50,7,"white","Empty","Empty"
50,6,"white","Empty","Empty"
50,5,"white","Empty","Empty"
50,4,"white","Empty","Empty"
50,3,"white","Empty","Empty"
50,2,"white","Empty","Empty"
50,1,"white","Empty","Empty"
50,0,"white","Empty","Empty"
51,119,"white","Empty","Empty"
51,118,"white","Empty","Empty"
51,117,"white","Empty","Empty"
51,116,"white","Empty","Empty"
51,115,"white","Empty","Empty"
51,114,"white","Empty","Empty"
51,113,"white","Empty","Empty"
51,112,"white","Empty","Empty"
51,111,"white","Empty","Empty"
51,110,"white","Empty","Empty"
51,109,"white","Empty","Empty"
51,108,"white","Empty","Empty"
51,107,"white","Empty","Empty"
51,106,"white","Empty","Empty"
51,105,"yellow","Natural","No_Yield"
51,104,"yellow","Natural","No_Yield"
51,103,"yellow","Natural","No_Yield"
51,102,"yellow","Natural","No_Yield"
51,101,"yellow","Natural","No_Yield"
51,100,"yellow","Natural","No_Yield"
51,99,"yellow","Natural","No_Yield"
51,98,"yellow","Natural","No_Yield"
51,97,"yellow","Natural","No_Yield"
51,96,"yellow","Natural","No_Yield"
51,95,"yellow","Natural","No_Yield"
51,94,"red","North","Yield_1"
51,93,"red","North","Yield_1"
51,92,"red","North","Yield_1"
51,91,"red","North","Yield_1"
51,90,"red","North","Yield_1"
51,89,"red","North","Yield_1"
51,88,"red","North","Yield_1"
51,87,"black","General","Yield_2"
51,86,"black","General","Yield_2"
51,85,"yellow","Natural","No_Yield"
51,84,"yellow","Natural","No_Yield"
51,83,"yellow","Natural","No_Yield"
51,82,"yellow","Natural","No_Yield"
51,81,"yellow","Natural","No_Yield"
51,80,"yellow","Natural","No_Yield"
51,79,"yellow","Natural","No_Yield"
51,78,"yellow","Natural","No_Yield"
51,77,"yellow","Natural","No_Yield"
51,76,"yellow","Natural","No_Yield"
51,75,"yellow","Natural","No_Yield"
51,74,"yellow","Natural","No_Yield"
51,73,"yellow","Natural","No_Yield"
51,72,"yellow","Natural","No_Yield"
51,71,"yellow","Natural","No_Yield"
51,70,"yellow","Natural","No_Yield"
51,69,"yellow","Natural","No_Yield"
51,68,"yellow","Natural","No_Yield"
51,67,"yellow","Natural","No_Yield"
51,66,"yellow","Natural","No_Yield"
51,65,"white","Empty","Empty"
51,64,"white","Empty","Empty"
51,63,"white","Empty","Empty"
51,62,"white","Empty","Empty"
51,61,"white","Empty","Empty"
51,60,"white","Empty","Empty"
51,59,"white","Empty","Empty"
51,58,"white","Empty","Empty"
51,57,"white","Empty","Empty"
51,56,"white","Empty","Empty"
51,55,"white","Empty","Empty"
51,54,"white","Empty","Empty"
51,53,"white","Empty","Empty"
51,52,"white","Empty","Empty"
51,51,"white","Empty","Empty"
51,50,"white","Empty","Empty"
51,49,"white","Empty","Empty"
51,48,"white","Empty","Empty"
51,47,"white","Empty","Empty"
51,46,"white","Empty","Empty"
51,45,"white","Empty","Empty"
51,44,"white","Empty","Empty"
51,43,"white","Empty","Empty"
51,42,"white","Empty","Empty"
51,41,"white","Empty","Empty"
51,40,"white","Empty","Empty"
51,39,"white","Empty","Empty"
51,38,"white","Empty","Empty"
51,37,"white","Empty","Empty"
51,36,"white","Empty","Empty"
51,35,"white","Empty","Empty"
51,34,"white","Empty","Empty"
51,33,"white","Empty","Empty"
51,32,"white","Empty","Empty"
51,31,"white","Empty","Empty"
51,30,"white","Empty","Empty"
51,29,"white","Empty","Empty"
51,28,"white","Empty","Empty"
51,27,"white","Empty","Empty"
51,26,"white","Empty","Empty"
51,25,"white","Empty","Empty"
51,24,"white","Empty","Empty"
51,23,"white","Empty","Empty"
51,22,"white","Empty","Empty"
51,21,"white","Empty","Empty"
51,20,"white","Empty","Empty"
51,19,"white","Empty","Empty"
51,18,"white","Empty","Empty"
51,17,"white","Empty","Empty"
51,16,"white","Empty","Empty"
51,15,"white","Empty","Empty"
51,14,"white","Empty","Empty"
51,13,"white","Empty","Empty"
51,12,"white","Empty","Empty"
51,11,"white","Empty","Empty"
51,10,"white","Empty","Empty"
51,9,"white","Empty","Empty"
51,8,"white","Empty","Empty"
51,7,"white","Empty","Empty"
51,6,"white","Empty","Empty"
51,5,"white","Empty","Empty"
51,4,"white","Empty","Empty"
51,3,"white","Empty","Empty"
51,2,"white","Empty","Empty"
51,1,"white","Empty","Empty"
51,0,"white","Empty","Empty"
52,119,"white","Empty","Empty"
52,118,"white","Empty","Empty"
52,117,"white","Empty","Empty"
52,116,"white","Empty","Empty"
52,115,"white","Empty","Empty"
52,114,"white","Empty","Empty"
52,113,"white","Empty","Empty"
52,112,"white","Empty","Empty"
52,111,"white","Empty","Empty"
52,110,"white","Empty","Empty"
52,109,"white","Empty","Empty"
52,108,"white","Empty","Empty"
52,107,"white","Empty","Empty"
52,106,"white","Empty","Empty"
52,105,"yellow","Natural","No_Yield"
52,104,"yellow","Natural","No_Yield"
52,103,"yellow","Natural","No_Yield"
52,102,"yellow","Natural","No_Yield"
52,101,"yellow","Natural","No_Yield"
52,100,"yellow","Natural","No_Yield"
52,99,"yellow","Natural","No_Yield"
52,98,"yellow","Natural","No_Yield"
52,97,"yellow","Natural","No_Yield"
52,96,"yellow","Natural","No_Yield"
52,95,"yellow","Natural","No_Yield"
52,94,"black","General","Yield_2"
52,93,"red","North","Yield_1"
52,92,"red","North","Yield_1"
52,91,"red","North","Yield_1"
52,90,"red","North","Yield_1"
52,89,"red","North","Yield_1"
52,88,"red","North","Yield_1"
52,87,"black","General","Yield_2"
52,86,"yellow","Natural","No_Yield"
52,85,"yellow","Natural","No_Yield"
52,84,"yellow","Natural","No_Yield"
52,83,"yellow","Natural","No_Yield"
52,82,"yellow","Natural","No_Yield"
52,81,"yellow","Natural","No_Yield"
52,80,"yellow","Natural","No_Yield"
52,79,"yellow","Natural","No_Yield"
52,78,"yellow","Natural","No_Yield"
