"year","general","north","mid","natural","upland","kinbiko"
998,4,2,2,2,2,2
999,4,2,2,2,2,2
1000,4,2,2,2,2,2
1001,4,2,2,2,2,2
1002,4,2,2,2,2,2
1003,4,2,2,2,2,2
1004,4,2,2,2,2,2
1005,4,2,2,2,2,2
1006,4,2,2,2,2,2
1007,4,2,2,2,2,2
1008,4,2,2,2,2,2
1009,4,2,2,2,2,2
1010,4,2,2,2,2,2
1011,4,2,2,2,2,2
1012,4,2,2,2,2,2
1013,4,2,2,2,2,2
1014,4,2,2,2,2,2
1015,4,2,2,2,2,2
1016,4,2,2,2,2,2
1017,4,2,2,2,2,2
1018,4,2,2,2,2,2
1019,4,2,4,2,2,2
1020,4,2,4,2,2,2
1021,4,2,4,2,2,2
1022,4,2,4,2,2,2
1023,4,2,4,2,2,2
1024,4,2,4,2,2,2
1025,4,2,4,2,2,2
1026,4,2,4,2,2,2
1027,4,2,4,2,2,2
1028,4,2,4,2,2,2
1029,4,2,4,2,2,2
1030,4,2,4,2,2,2
1031,4,4,4,2,2,4
1032,4,4,4,2,2,4
1033,4,4,4,2,2,4
1034,4,4,4,2,2,4
1035,4,4,4,2,2,4
1036,4,4,4,2,2,4
1037,4,4,4,2,2,4
1038,4,4,4,2,2,4
1039,4,4,4,2,2,4
1040,4,4,4,2,2,4
1041,4,4,4,2,2,4
1042,4,4,4,2,2,4
1043,4,4,4,2,2,4
1044,4,4,4,2,2,4
1045,4,4,4,2,2,4
1046,4,4,4,2,2,4
1047,4,4,4,2,2,4
1048,4,4,4,2,2,4
1049,4,4,4,2,2,4
1050,4,4,4,2,2,4
1051,4,4,4,2,2,4
1052,4,4,4,2,2,4
1053,4,4,4,2,2,4
1054,4,4,4,2,2,4
1055,4,4,4,2,2,4
1056,4,4,4,2,2,4
1057,4,4,4,2,2,4
1058,4,4,4,2,2,4
1059,4,4,4,2,2,4
1060,4,4,4,2,2,4
1061,4,4,4,2,2,4
1062,4,4,4,2,2,4
1063,4,4,4,2,2,4
1064,4,4,4,2,2,4
1065,4,4,4,2,2,4
1066,4,4,4,2,2,4
1067,4,4,4,2,2,4
1068,4,4,4,2,2,4
1069,4,4,4,2,2,4
1070,4,4,4,2,2,4
1071,4,4,4,2,2,4
1072,4,4,4,2,2,4
1073,4,4,4,2,2,4
1074,4,4,4,2,2,4
1075,4,4,4,2,2,4
1076,4,4,4,2,2,4
1077,4,4,4,2,2,4
1078,4,4,4,2,2,4
1079,4,4,4,2,2,4
1080,4,4,4,2,2,4
1081,4,4,4,2,2,4
1082,4,4,4,2,2,4
1083,4,4,4,2,2,4
1084,4,4,4,2,2,4
1085,4,4,4,2,2,4
1086,4,4,4,2,2,4
1087,4,4,4,2,2,4
1088,4,4,4,2,2,4
1089,4,4,4,2,2,4
1090,4,4,4,2,2,4
1091,4,4,4,2,2,4
1092,4,4,4,2,2,4
1093,4,4,4,2,2,4
1094,4,4,4,2,2,4
1095,4,4,4,2,2,4
1096,4,4,4,2,2,4
1097,4,4,4,2,2,4
1098,4,4,4,2,2,4
1099,4,4,4,2,2,4
1100,4,4,4,2,2,4
1101,4,4,4,2,2,4
1102,4,4,4,2,2,4
1103,4,4,4,2,2,4
1104,4,4,4,2,2,4
1105,4,4,4,2,2,4
1106,4,4,4,2,2,4
1107,4,4,4,2,2,4
1108,4,4,4,2,2,4
1109,4,4,4,2,2,4
1110,4,4,4,2,2,4
1111,4,4,4,2,2,4
1112,4,4,4,2,2,4
1113,4,4,4,2,2,4
1114,4,4,4,2,2,4
1115,4,4,4,2,2,4
1116,4,4,4,2,2,4
1117,4,4,4,2,2,4
1118,4,4,4,2,2,4
1119,4,4,4,2,2,4
1120,4,4,4,2,2,4
1121,4,4,4,2,2,4
1122,4,4,4,2,2,4
1123,4,4,4,2,2,4
1124,4,4,4,2,2,4
1125,4,4,4,2,2,4
1126,4,4,4,2,2,4
1127,4,4,4,2,2,4
1128,2,4,4,4.236,4.236,4
1129,2,4,4,6.584,6.584,4
1130,2,2,4,1.3319999,1.3319999,2
1131,2,2,4,-5.852,-5.852,2
1132,2,2,4,-2.1709998,-2.1709998,2
1133,2,2,4,-1.799,-1.799,2
1134,2,2,4,-0.46600002,-0.46600002,2
1135,2,2,4,-0.46600002,-0.46600002,2
1136,2,2,4,0.82199997,0.82199997,2
1137,2,2,4,-2.8309999,-2.8309999,2
1138,2,2,4,-2.265,-2.265,2
1139,2,2,4,1.8539999,1.8539999,2
1140,2,2,4,-2.315,-2.315,2
